id,random_seed,data_structure,data_num_snps,loader_genome_batch_size,loader_snp_batch_size,model_conv_num_layers,model_conv_channel_size,model_conv_kernel_size,model_conv_stride,model_conv_dilation,model_conv_groups,model_conv_activation,model_conv_activation_kwargs,model_conv_dropout_p,model_conv_dropout_first,model_conv_batch_norm,model_conv_batch_norm_momentum,model_conv_lstm_activation,model_conv_lstm_activation_kwargs,model_conv_lstm_dropout_p,model_conv_lstm_dropout_first,model_conv_lstm_layer_norm,model_lstm_num_layers,model_lstm_input_size,model_lstm_hidden_size,model_lstm_proj_size,model_lstm_bidirectional,model_lstm_dropout_p,model_lstm_dropout_first,model_lstm_layer_norm,model_lstm_linear_dropout_p,model_lstm_linear_dropout_first,model_lstm_linear_batch_norm,model_lstm_linear_batch_norm_momentum,model_linear_num_layers,model_linear_num_features,model_linear_activation,model_linear_activation_kwargs,model_linear_dropout_p,model_linear_dropout_first,model_linear_batch_norm,model_linear_batch_norm_momentum,trainer_num_epochs,trainer_learning_rate,trainer_best_eval_epoch,trainer_best_eval_loss,trainer_best_eval_acc,tester_loss,tester_acc,tester_precision,tester_recall,tester_f1_score,tester_auroc
11062345,0,pool,80000,32,80000,3,"(3, 8, 16, 32)","(20, 10, 5)","(4, 2, 1)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': False}, {'inplace': False})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,True,1,"(32,)","(16,)","(0,)","(True,)",(),(),(),0.25,True,True,0.1,1,"(32, 1)",(),(),(),(),(),(),256,0.001,19,0.6981379836797714,0.5249999761581421,0.6943258792161942,0.4666666686534881,0.4791666567325592,0.7666666507720947,0.5897436141967773,0.4666666388511657
11062353,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 10)","(2, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': False}, {'inplace': False})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,True,1,"(16,)","(32,)","(0,)","(True,)",(),(),(),0.25,True,True,0.1,1,"(64, 1)",(),(),(),(),(),(),256,0.001,2,0.6922584921121597,0.574999988079071,0.6871746182441711,0.6000000238418579,0.5714285969734192,0.800000011920929,0.6666666865348816,0.5999999642372131
11070002,42,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 10)","(2, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': False}, {'inplace': False})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,True,1,"(16,)","(32,)","(0,)","(True,)",(),(),(),0.25,True,True,0.1,1,"(64, 1)",(),(),(),(),(),(),256,0.001,19,0.6952790468931198,0.5833333134651184,0.7013444602489471,0.5083333253860474,0.5128205418586731,0.3333333432674408,0.4040403962135315,0.5083333253860474
11070011,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 10)","(2, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,True,1,"(16,)","(32,)","(0,)","(True,)",(),(),(),0.5,True,True,0.1,1,"(64, 1)",(),(),(),(),(),(),256,0.001,2,0.6926335841417313,0.5333333611488342,0.6914544552564621,0.5166666507720947,0.5121951103210449,0.699999988079071,0.591549277305603,0.5166666507720947
11070023,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 5)","(4, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,True,1,"(16,)","(32,)","(0,)","(True,)",(),(),(),0.5,True,True,0.1,1,"(64, 1)",(),(),(),(),(),(),256,0.001,4,0.6938527822494507,0.5249999761581421,0.7061099708080292,0.4333333373069763,0.4375,0.4666666686534881,0.4516128897666931,0.4333333373069763
11071610,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 5)","(4, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{'inplace': True},0.5,True,True,2,"(16, 64)","(32, 16)","(0, 0)","(True, True)","(0.5,)","(True,)","(True,)",0.5,True,True,0.1,1,"(32, 1)",(),(),(),(),(),(),256,0.001,29,0.6888250261545181,0.550000011920929,0.6911765486001968,0.5166666507720947,0.5106382966041565,0.800000011920929,0.6233766078948975,0.5166666507720947
11071617,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 5)","(4, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{'inplace': True},0.5,True,False,2,"(16, 64)","(32, 16)","(0, 0)","(True, True)","(0.5,)","(True,)","(False,)",0.5,True,True,0.1,1,"(32, 1)",(),(),(),(),(),(),256,0.001,10,0.6939937770366669,0.5416666865348816,0.6932971775531769,0.5,0.5,0.8666666746139526,0.6341463327407837,0.5
11071648,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 5)","(4, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{'inplace': True},0.5,True,False,2,"(16, 64)","(32, 16)","(0, 0)","(True, True)","(0.5,)","(True,)","(True,)",0.5,True,True,0.1,1,"(32, 1)",(),(),(),(),(),(),256,0.001,8,0.6929564923048019,0.5416666865348816,0.6937619894742966,0.5,0.5,0.9666666388511658,0.6590909361839294,0.5
11071702,0,pool,80000,32,80000,3,"(3, 16, 32, 16)","(20, 10, 5)","(4, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({'inplace': True}, {'inplace': True})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{'inplace': True},0.5,True,False,1,"(16,)","(8,)","(0,)","(True,)",(),(),(),0.5,True,True,0.1,1,"(16, 1)",(),(),(),(),(),(),256,0.001,6,0.6933672875165939,0.5249999761581421,0.6935274302959442,0.550000011920929,0.6875,0.1833333373069763,0.289473682641983,0.550000011920929
11071844,0,pool,80000,32,80000,3,"(3, 4, 8, 4)","(20, 10, 10)","(2, 2, 2)","(1, 1, 1)","(1, 1, 1)","(<class 'torch.nn.modules.activation.ReLU'>, <class 'torch.nn.modules.activation.ReLU'>)","({}, {})","(0.5, 0.5)","(True, True)","(True, True)","(0.1, 0.1)",<class 'torch.nn.modules.activation.ReLU'>,{},0.5,True,False,1,"(4,)","(8,)","(0,)","(True,)",(),(),(),0.25,True,True,0.1,1,"(16, 1)",(),(),(),(),(),(),256,0.001,36,0.6924944818019867,0.5583333373069763,0.6928135305643082,0.5249999761581421,0.5164835453033447,0.7833333611488342,0.6225165724754333,0.5249999761581421
